"Normal text", "Normal text file"
"PHP", "PHP Hypertext Preprocessor file"
"C", "C source file"
"C++", "C++ source file"
"C#", "C# source file"
"Objective-C", "Objective-C source file"
"Java", "Java source file"
"RC", "Windows Resource file"
"HTML", "Hyper Text Markup Language file"
"XML", "eXtensible Markup Language file"
"Makefile", "Makefile"
"Pascal", "Pascal source file"
"Batch", "Batch file"
"ini", "MS ini file"
"NFO", "MSDOS Style/ASCII Art"
"udf", "User Defined language file"
"ASP", "Active Server Pages script file"
"SQL", "Structured Query Language file"
"Visual Basic", "Visual Basic file"
"JavaScript", "JavaScript file"
"CSS", "Cascade Style Sheets File"
"Perl", "Perl source file"
"Python", "Python file"
"Lua", "Lua source File"
"TeX", "TeX file"
"Fortran free form", "Fortran free form source file"
"Shell", "Unix script file"
"ActionScript", "Flash ActionScript file"
"NSIS", "Nullsoft Scriptable Install System script file"
"TCL", "Tool Command Language file"
"Lisp", "List Processing language file"
"Scheme", "Scheme file"
"Assembly", "Assembly language source file"
"Diff", "Diff file"
"Properties file", "Properties file"
"PostScript", "PostScript file"
"Ruby", "Ruby file"
"Smalltalk", "Smalltalk file"
"VHDL", "VHSIC Hardware Description Language file"
"KiXtart", "KiXtart file"
"AutoIt", "AutoIt"
"CAML", "Categorical Abstract Machine Language"
"Ada", "Ada file"
"Verilog", "Verilog file"
"MATLAB", "MATrix LABoratory"
"Haskell", "Haskell"
"Inno Setup", "Inno Setup script"
"Internal Search", "Internal Search"
"CMake", "CMake file"
"YAML", "YAML Ain't Markup Language"
"COBOL", "COmmon Business Oriented Language"
"Gui4Cli", "Gui4Cli file"
"D", "D programming language"
"PowerShell", "Windows PowerShell"
"R", "R programming language"
"JSP", "JavaServer Pages script file"
"CoffeeScript", "CoffeeScript file"
"json", "JSON file"
"JavaScript", "JavaScript file"
"Fortran fixed form", "Fortran fixed form source file"
"BaanC", "BaanC File"
"S-Record", "Motorola S-Record binary data"
"Intel HEX", "Intel HEX binary data"
"Tektronix extended HEX", "Tektronix extended HEX binary data"
"Swift", "Swift file"
"ASN.1", "Abstract Syntax Notation One file"
"AviSynth", "AviSynth scripts files"
"BlitzBasic", "BlitzBasic file"
"PureBasic", "PureBasic file"
"FreeBasic", "FreeBasic file"
"Csound", "Csound file"
"Erlang", "Erlang file"
"ESCRIPT", "ESCRIPT file"
"Forth", "Forth file"
"LaTeX", "LaTeX file"
"MMIXAL", "MMIXAL file"
"Nimrod", "Nimrod file"
"Nncrontab", "extended crontab file"
"OScript", "OScript source file"
"REBOL", "REBOL file"
"registry", "registry file"
"Rust", "Rust file"
"Spice", "spice file"
"txt2tags", "txt2tags file"
"Visual Prolog", "Visual Prolog file"
"External", "External"
